pregunta,respuesta
Hay fechas estipuladas para hacer las prácticas profesionales?,"No se cuentan con fechas estipuladas, tu decides cuando empezar simplemente la fecha de inicio debe ser tres días hábiles posterior a la fecha que entregas documentación"
¿Qué documentos necesito para realizar mis prácticas profesionales?,"Constancia de créditos, Cedula de registro (se encuentra en la página oficial de upiicsa, apartado de prácticas profesionales) , Constancia de vigencia de derechos al IMSS, ISSSTE, SEGURO POPULAR, PRIVADO, vigente (en caso de no entregarlo se considerará invalido). Impresión de captura de pantalla del registro de la empresa en la plataforma SISAE-SIBOLTRA (programas a distancia, tu NO registras la empresa).

Impresión de captura de pantalla del registro en la plataforma SISAE-SIBOLTRA del alumno.

Copia de horario de clases del periodo inscrito. El área de prácticas profesionales les enviará vía correo electrónico, carta de presentación y deberás de enviar la carta de aceptación por parte de la empresa sobre el mismo hilo de mensajes, esto para llevar un seguimiento a tu trámite."
Para titularme tengo que hacer tanto servicio social como prácticas profesionales ¿o es solo una?,Tendrás que realizar ambas.
Requisitos para tramitar el servicio social,"1:  Debes estar inscrito o ser egresado  2: Constancia de créditos con mínimo el 70% de créditos cubiertos          3: En el caso de egresados pueden presentar constancia de créditos con el 100% de créditos, carta de pasante o boleta certificada que no tenga más de 3 meses de expedición.        4: Constancia de vigencia de derechos del servicio médico con el que cuentes (si no cuentas con servicio médico el trámite no procederá)  5: CURP, no mayor a un mes de expedición        6:  Contar con correo institucional             7: Carta compromiso del SISS          8: PARA MAYOR INFORMACIÓN ACCEDE A LA PÁGINA DE LA UPIICSA EN EL https://www.upiicsa.ipn.mx/estudiantes/servicio-social.html"
Explicación de la titulación por currícula.,"Consiste en la acreditación de las unidades de aprendizaje de la linea curricular las cuales deberán acreditarse en curso normal (no en
ETS), durante los 3 o 4 últimos semestres de la carrera, deberás cumplir con la asistencia del 90% y una callficación no menor de 8.0 en cada una de estas. "
"como tramitar constancias (boleta, tira de materias, constancia de estudios etc.)",Puedes tramitarla a traves del SAES en el apartado de (Trámites / Solicitud)  y a partir de ahí selecciones el documento que quieras tramitar en caso de no encontrar el documento que requieres tramitar acude a ventanilla de gestión escolar
Cuántos créditos son los mínimos para realizar el servicio social?,Se debe de tener mínimo el 75% de los créditos cubiertos del plan de estudios
Hola!,"Hola UPIICSIANX, cuál es tu duda? Estoy para ayudarte"
Cómo estás?,"Bien, muchas gracias, estoy para responder tus preguntas"
Cuántos créditos son los mínimos para realizar el servicio social,Se debe de tener mínimo el 70% de los créditos cubiertos del plan de estudios
Cuáles son las formas de titulación?,Son las siguientes: Proyecto de Investigación 2: Tesis 3: Memoria de experiencia profesional 4: Créditos de Posgrado 5: Seminario de Titulación 6: Escolaridad 7: Curricular 8: Prácticas profesionales
¿Qué pasa si no pude tener tutor en mi primer semestre?,"El docente tutor es solo una figura de orientación para mejorar tu aprovechamiento académico, por lo que no representa ninguna consecuencia para tu trayectoria no contar con uno."
Requisitos para tramitar el servicio social,"Los requisitos son los siguientes :     1: Debes estar inscrito o ser egresado       2: Constancia de créditos con mínimo el 70% de créditos cubiertos        3:  En el caso de egresados pueden presentar constancia de créditos con el 100% de créditos, carta de pasante o boleta certificada que no tenga más de 3 meses de expedición.           4: Constancia de vigencia de derechos del servicio médico con el que cuentes (si no cuentas con servicio médico el trámite no procederá)           5: CURP, no mayor a un mes de expedición             6: Contar con correo institucional         7: Carta compromiso del SISS          8: PARA MAYOR INFORMACIÓN ACCEDE A LA PÁGINA DE LA UPIICSA EN EL APARTADO DE ESTUDIANTES/SERVICIO SOCIAL"
Para titularme tengo que hacer tanto servicio social como prácticas profesionales ¿o es solo una?,Tendrás que realizar ambas.
¿Hasta que momento pierdo el derecho de tener seguro facultativo? ,Al perder la calidad de alumno del Instituto Politécnico Nacional
¿Cómo funciona específicamente la titulación por Experiencia laboral? ,"Consiste en la elaboración de un informe escrito de las actividades profesionales del pasante durante un periodo no menor de tres años, donde se apliquen conocimientos de la especialidad"
Donde y como denunciar o reportar a un profesor qué incumple con la impartición de unidades de aprendizaje,Acércate a la subdirección académica en el edificio de gobierno para recibir asistencia.
"Si repruebo mi materia de titulación, puedo recusar y titularme aún, por línea curricular? ",Esta opción de titulación exige la acreditación de las unidades de aprendizaje de la linea curricular las cuales deberán acreditarse en curso normal (no en
¿Qué hago si mi constancia de vigencia de IMSS ya sale como dadá de baja y tengo que hacer mis prácticas profesionales? ,Acércate al área de salud de la UPIICSA en el edificio de gobierno y sigue el procedimiento indicado para realizar tu alta al seguro médico del IMSS. Deberás conocer la UMF a la que estabas asignado. 
Explicación de la titulación por currícula.,Consiste en la acreditación de las unidades de aprendizaje de la linea curricular las cuales deberán acreditarse en curso normal (no en
Como hago para cambiarme de escuela ,"Debes esperar al lanzamiento de la convocatoria para cambios de carrera y cumplir con los requisitos que se estipulen. Debido al contexto actual del IPN, no se permiten cambios de carrera externos (De escuela a escuela). Solamente cambios internos (Entre carreras de una misma escuela)"
"cuáles son las formas de titulación, requisitos, y en qué momento se puede empezar con el trámite??","Existen las siguientes opciones: 1.-Proyecto de investigación (Consiste en presentar un informe técnico final acerca de una investigción realizada que conlleve a la propuesta o desarrollo de un nuevo material, equipo, proceso o sistema dentro del área dentro de la cual el pasante pretenda titularse)    2.- Tesis (Trabajo escrito cuyo objetivo puede ser la investigación o aportación de nuevos enfoques a termas determinados)          3.- Memoria de experiencia profesional (Elaboración de un informe escrito de las actividades profesionales del pasante durante un periodo no menor de tres años, donde se apliquen conocimientos de la especialidad)      4.- Créditos de posgrado (Consiste en la obtención del 50% de los créditos por cursos requeridos para cubrir un programa de maestría y la presentación de dos trabajos de investigación; o el 50% de los créditos requeridos para cursar un programa de maestría afín a la carrera cursada reconocida por la SEPI del IPN.        5.- Seminario de titulación (Consiste en acreditar el seminario con una calificación no menor a 8.0 y una asistencia del 90%, además de presentar un trabajo escrito relacionado con el seminario. Su duración es de 150hr.)         6.- Escolaridad (Procede cuando el pasante haya obtenido un promedio mínimo de 9.0 durante toda su trayectoria y no haya reprobado ninguna asignatura durante el transcruso de la misma)          7.- Curricular (Consiste en la acreditación de curso y de una serie de actividades equivalentes diseñadas para la titulación. Estos cursos deben estar incorporados al plan de estudios de carrera de acuerdo con lo dispuesto por el Art. 10 del reglamento de aprobación de planes y programas de estudio del IPN).             8.- Práctica profesional (Consiste en realizar actividades de un mínimo de 720 horas en un área de trabajo que le permita aplicar los conocimientos adquiridos en la carrera corresponiente. Solamente es aplicable para alumnos con un promedio mínimo general de 8.0 y que hayan cubierto el 100% de su programa académico. Se deberá entregar un informe escrito que servirá como base para su examen profesional) Los trámites deben comenzarse según el tipo de opción de titulación elegida. Por ejemplo, para titularse por memoria profesional, es necesario acudir con tu jefe de programa académico, mientras que para los seminarios de titulación, es necesario estar atento a la convocatoria y sus respectivas ceremonias. "
¿Cómo puedo pedir resguardo de una materia de laboratorio de mecánica clásica?,"Es reguardo de calificación no es un mecanismo oficial contemplado en el reglamento general de estudios, por lo que exclusivamente es un acuerdo informal con la academia y el profesor asignado. Los planes de estudio 2021 tienen teoría y laboratorio por separado, por lo cual la UA se acredita como cualquier otra UA. "
